id,en,es
SS1SEARCH,Search,Buscar
SS1CONNECT,Connect,Conectar
SS1EXIT,Exit,Salir
L1TITLE,PLE,PLE
L1USERNAMETITLE,Username,Nombre de Usuario
L1PASSWORDTITLE,Password,Clave de Usuario
L1LOGINBUTTON,Login,Iniciar sesión
L1CREATEBUTTON,Create Account,Crear una cuenta
L2PASSWORDREPEATTITLE,Repeat Password,Repite la Contraseña
L2CANCELBUTTON,Cancel,Cancelar
SS2PLAYERSTATISTICS,Player Statistics,Estadísticas del jugador
SS2PROGRESS,Progress:,Progreso:
SS2BASICCONCEPTS,Basic Concepts:,Conceptos Básicos:
SS2INTERMEDIATECONCEPT,Intermediate Concepts:,Conceptos Intermedios:
SS2ADVANCEDCONCEPT,Advanced Concepts:,Conceptos Avanzados:
STATS1,Player Statistics,Estadísticas del Jugador
TROPHYB,Basic,Básico
DIALOGPART1N1,"Hello there! Nice to meet you, my name is David and I will be your guide in this learning adventure.","¡Hola! Un placer conocerte, mi nombre es David y seré tú guía en esta aventura de aprendizaje."
DIALOGPART1N2,For this first part we will use the restaurant where we are at the moment.,Para esta primera parte haremos uso del restaurante en el que nos encontramos.
DIALOGPART1N3,"But first, I will dress according to the occasion.","Pero primero, me vestiré de acuerdo a la ocasión."
DIALOGPART1N4,Ready! Let's get started.,¡Listo! Comenzemos.
DIALOGPART1N5,"First, we will learn to use the ingredients and tools that the restaurant offers us.","Primero, aprenderemos a utilizar los ingredientes y las herramientas que nos ofrece el restaurante."
DIALOGPART1N6,"To select the ingredients and the restaurant tools, we will use the left click.","Para seleccionar los ingredientes y herramientas del restaurante, emplearemos el clic izquierdo."
DIALOGPART1N7,Open the fridge with a click and let's see the ingredients we have.,Abre la nevera con un clic y veamos los ingredientes que tenemos.
DIALOGPART1N8,These are the ingredients that we will use to make the pizzas.,Estos son los ingredientes que utilizaremos para realizar las pizzas. 
DIALOGPART1N9,At the top we have the customer's order and the order number.,En la parte de arriba tenemos la orden del cliente y el número de orden.
DIALOGPART1N10,"For this first part we will make the pizza called ""Pizza Order # 0"".","Para esta primera parte realizaremos la pizza indicada ""Orden de Pizza #0""."
DIALOGPART1N11,"1) To make the pizza dough, click on the flour.","1) Para realizar la masa de la pizza, debemos dar clic en la harina."
DIALOGPART1N12,Now we must click on the kneading table and wait the required time.,Ahora debemos dar clic en la tabla de amasar y esperar el tiempo indicado.
DIALOGPART1N13,"Finally, we click on the dough and then we click on the preparation table.","Finalmente, damos clic en la masa y despues damos clic en la tabla de preparación."
DIALOGPART1N14,"As we can see, the ready ingredients are being stored in this place.","Como podemos observar, los ingredientes listos van quedando almacenados en este lugar."
DIALOGPART1N15,"2) To make the tomato sauce, we must click on the tomatoes.","2) Para realizar la salsa de tomate, debemos dar clic en los tomates."
DIALOGPART1N16,Now we must click on the chopping table and wait the required time.,Ahora debemos dar clic en la mesa de picar y esperar el tiempo indicado.
DIALOGPART1N17,"Then, we click on the cut tomatoes, then we click on the stove and we wait the required time.","Posteriormente, damos clic en los tomates cortados, damos clic en la estufa y esperamos el tiempo indicado."
DIALOGPART1N18,"Finally, we click on the preparation table.","Finalmente, damos clic en la tabla de preparación."
DIALOGPART1N19,"3) To get grated cheese, we must click on the cheese.","3) Para obtener queso rallado, debemos dar clic en el queso."
DIALOGPART1N20,Now we must click on the chopping table and wait the required time.,Ahora debemos dar clic en la mesa de picar y esperar el tiempo indicado.
DIALOGPART1N21,Note: For the other ingredients only the cutting board should be used.,Nota: Para los demas ingredientes solo se debe usar la tabla de picar.
DIALOGPART1N22,"After having the ingredients of the order ready, we proceed to make the pizza.","Luego de tener los ingredientes de la orden listos, procedemos a realizar la pizza."
DIALOGPART1N23,Click on the preparation table and verify that we have the ingredients for the order.,Damos clic en la tabla de preparación y verificamos que tengamos los ingredientes de la orden.
DIALOGPART1N24,"4) To assemble the pizza, we must click on the ingredient and then click on the table.","4) Para armar la pizza, debemos dar clic en el ingrediente y después dar clic en la tabla."
DIALOGPART1N25,"If we want to disassemble the pizza, we click on the red button and all the ingredients will return to their place.","Si queremos desarmar la pizza, damos clic en el botón rojo y todos los ingredientes volverán a su lugar."
DIALOGPART1N26,"To finish the pizza that we have assembled, we click on the green button and the pizza will appear on the table.","Para finalizar la pizza que hemos armado, damos clic en el botón verde y aparecerá la pizza en la mesa."
